FECHA HECHO,DEPARTAMENTO,MUNICIPIO,CANTIDAD
2010-04-15,PUTUMAYO,PUERTO ASIS,1
2010-04-15,VICHADA,CUMARIBO,2
2010-04-16,PUTUMAYO,PUERTO ASIS,2
2010-04-16,NORTE DE SANTANDER,EL ZULIA,1
2010-04-16,VICHADA,CUMARIBO,1
2010-04-17,NORTE DE SANTANDER,TIBU,1
2010-04-17,PUTUMAYO,LEGUIZAMO,1
2010-04-17,CHOCÓ,BAJO BAUDO,1
2010-04-17,CAQUETÁ,EL DONCELLO,1
2010-04-17,CAUCA,BOLIVAR,1
2010-04-17,NARIÑO,EL ROSARIO,1
2010-04-17,NARIÑO,SAN ANDRES DE TUMACO,1
2010-04-18,CAUCA,BOLIVAR,1
2010-04-18,ANTIOQUIA,DON MATIAS,1
2010-04-19,GUAVIARE,CALAMAR,1
2010-04-19,NORTE DE SANTANDER,TIBU,1
2010-04-19,PUTUMAYO,LEGUIZAMO,3
2010-04-19,CAUCA,BOLIVAR,2
2010-04-19,VICHADA,CUMARIBO,1
2010-04-19,NARIÑO,LA TOLA,1
2010-04-19,NARIÑO,SAN ANDRES DE TUMACO,1
2010-04-20,PUTUMAYO,LEGUIZAMO,1
2010-04-20,META,MAPIRIPAN,1
