FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD,UNIDAD DE MEDIDA
2010-03-17,86.0,PUTUMAYO,86573,LEGUIZAMO,1,UNIDAD
2010-03-17,19.0,CAUCA,19100,BOLIVAR,1,UNIDAD
2010-03-17,25.0,CUNDINAMARCA,25807,TIBIRITA,1,UNIDAD
2010-03-17,52.0,NARIÑO,52378,LA CRUZ,1,UNIDAD
2010-03-17,99.0,VICHADA,99773,CUMARIBO,2,UNIDAD
2010-03-18,95.0,GUAVIARE,95025,EL RETORNO,1,UNIDAD
2010-03-18,54.0,NORTE DE SANTANDER,54810,TIBU,1,UNIDAD
2010-03-18,86.0,PUTUMAYO,86573,LEGUIZAMO,2,UNIDAD
2010-03-18,76.0,VALLE DEL CAUCA,76109,BUENAVENTURA,2,UNIDAD
2010-03-18,19.0,CAUCA,19785,SUCRE,1,UNIDAD
2010-03-18,19.0,CAUCA,19050,ARGELIA,1,UNIDAD
2010-03-18,52.0,NARIÑO,52540,POLICARPA,1,UNIDAD
2010-03-18,54.0,NORTE DE SANTANDER,54405,LOS PATIOS,1,UNIDAD
2010-03-18,68.0,SANTANDER,68190,CIMITARRA,1,UNIDAD
2010-03-18,99.0,VICHADA,99773,CUMARIBO,2,UNIDAD
